struct_id_2015,structure_id_2023,match_distance_deg
800747,808640,2.9845745907929176e-05
800748,807973,2.238970275243392e-05
800749,806681,2.6750876168638672e-05
800750,803632,3.07795112183787e-05
800751,801211,2.6295810317441136e-05
800752,810306,1.765534309425437e-05
800753,809992,4.190517036972641e-05
800754,814630,4.71253382486875e-05
800755,804367,9.776449304758993e-06
800756,817140,2.2833845574609934e-05
800757,809087,1.1719469120248565e-05
800758,812482,6.296922979423564e-05
800759,808276,1.5894732859502983e-05
800760,814994,4.970434798885646e-05
800761,807136,2.956965539562013e-05
800762,804364,4.355683249226202e-06
800763,807049,2.4957771819294245e-05
800764,804743,2.746492177625378e-06
800765,804743,8.485691771779157e-05
800766,802093,1.9994481726554336e-05
800767,801018,9.67209399739947e-06
800768,811094,1.0786828552911952e-05
800769,802486,2.4444230864600773e-06
800770,809849,2.0697720315460485e-05
800771,813017,2.8985107521888482e-05
800772,818699,3.027060586398198e-05
800773,809657,3.534953152494725e-05
800774,801296,7.20261383917219e-06
800775,818338,2.153209704950988e-06
800776,818338,4.333143046622873e-05
800777,809682,1.1201465806000088e-06
800778,815579,2.100775201394752e-05
800779,802055,7.931415703880641e-06
800780,805196,1.0186937756154847e-05
800781,810987,6.216608991202998e-05
800782,808171,1.8584720440963096e-05
800783,808883,1.2666243943813422e-05
800784,804684,2.7898587981489543e-05
800785,806584,1.3916138672212638e-05
800786,809738,1.7988582985046273e-05
800787,815730,2.1835680535716884e-05
800788,808985,0.00013879786193115117
800789,812756,1.529087370129927e-05
800790,805499,2.22346870428898e-05
800791,803916,4.4160837419258954e-05
800792,805708,5.669637169649131e-05
800793,816610,4.953526839543909e-06
800794,813974,1.1402835831529716e-05
800795,807200,5.599572376982351e-05
800796,804539,9.071111980925578e-06
800797,800789,7.353492017190501e-06
800798,804478,2.6128941864156677e-06
800799,811439,1.1719865893077135e-05
800800,811534,4.090434298484965e-05
800801,811534,2.3987739730809575e-05
800802,801210,6.853636791722919e-05
800803,800149,1.1054027953609658e-06
800804,800303,4.4295414337999845e-05
800805,809994,1.1464223646908477e-05
800806,808846,3.0087272670536132e-05
800807,800774,3.237729360132273e-05
800808,808011,2.3109738397683728e-05
800809,804261,7.516002900329739e-06
800810,810434,3.12624314632375e-05
800811,813311,3.652372236706419e-05
800812,818806,4.193361113649633e-06
800813,818594,7.988775101689145e-06
800814,814333,6.878909372783757e-06
800815,812797,7.415144664450719e-06
800816,812763,3.311890487406875e-05
800817,803088,1.9799030782931517e-05
800818,813528,3.901623583725403e-05
800819,816502,3.4680819161328864e-05
800820,801898,2.1733122697381545e-05
800821,800254,1.7327271789289336e-05
800823,814639,7.220058865892111e-06
800824,814640,3.440868930866171e-06
800825,804515,4.4709273063319204e-06
800826,808088,4.946687978004218e-05
800827,808088,5.157867441774748e-06
800828,800973,1.9274771912131825e-05
800829,801270,4.570619002975208e-05
800830,817210,1.7660375619168904e-05
800831,802365,7.335277950956741e-05
800832,802365,4.4152949004706086e-06
800833,802365,6.788691581114904e-05
800834,801933,1.8894409892842592e-06
800835,818566,1.8163309260903312e-06
800836,800929,1.584080952819015e-05
800837,805609,1.479271569798093e-05
800838,810922,2.799117764837713e-06
800839,814658,6.25918422256575e-07
800840,808710,4.439403002940193e-06
800841,803776,1.7670426581486293e-05
800842,805837,2.373995807144634e-05
800843,805010,1.992078484548523e-05
800844,815405,2.567679186253975e-06
800845,815405,4.5891396601540195e-06
800846,817201,3.495115197630468e-05
800847,816575,3.6511359749234325e-05
800848,813659,4.5430073006626695e-05
800849,804312,4.914316475447652e-05
800850,804312,3.082696843534219e-05
800851,815983,3.9066576924584625e-05
800852,803861,3.6012991680833324e-05
800853,806600,2.5280516163858497e-05
800854,804846,4.755172532185763e-05
800855,804846,2.544087781391899e-05
800856,803768,8.793545569550079e-05
800857,803768,1.4381219826404235e-05
800858,800239,3.4382343946291655e-06
800859,810776,2.1159021523308094e-05
800860,801738,2.593385649017375e-05
800861,809414,3.242858672374859e-05
800862,803515,2.8928575881173875e-05
800863,809429,7.679070811448063e-07
