structure_id,total_roof_area,usable_roof_area,dominant_rating,solar_score_avg,roof_patch_count,excellent_area,usable_ratio
801448,8.0,8.0,Excellent,5.0,1,8.0,1.0
801449,656.0,636.0,Good,4.0,6,608.0,0.97
801451,224.0,220.0,Excellent,4.0,3,72.0,0.982
801454,52.0,52.0,Good,4.0,1,0.0,1.0
801455,132.0,132.0,Excellent,5.0,2,132.0,1.0
801456,12.0,0.0,Moderate,3.0,1,0.0,0.0
801457,4.0,0.0,Moderate,3.0,1,0.0,0.0
801459,764.0,644.0,Moderate,2.5,14,0.0,0.843
801460,168.0,164.0,Good,3.75,4,104.0,0.976
801464,52.0,52.0,Excellent,4.67,3,16.0,1.0
801465,80.0,80.0,Excellent,5.0,1,80.0,1.0
